name,surface,aces,winner,total_pts
Rafael Nadal,Hard,4.0,True,113.0
Rafael Nadal,Hard,4.0,True,95.0
Rafael Nadal,Hard,7.0,True,155.0
Rafael Nadal,Hard,6.0,True,99.0
Rafael Nadal,Hard,5.0,True,105.0
Marcos Baghdatis,Hard,7.0,False,73.0
Rafael Nadal,Hard,11.0,True,173.0
Rafael Nadal,Hard,2.0,True,126.0
Gael Monfils,Hard,15.0,False,105.0
Rafael Nadal,Hard,4.0,True,117.0
Milos Raonic,Hard,14.0,False,95.0
Rafael Nadal,Hard,4.0,True,91.0
Mikhail Youzhny,Hard,5.0,False,51.0
Rafael Nadal,Hard,3.0,True,158.0
Rafael Nadal,Hard,4.0,True,97.0
Rafael Nadal,Hard,5.0,True,30.0
Rafael Nadal,Hard,7.0,True,91.0
Rafael Nadal,Hard,2.0,True,107.0
Gael Monfils,Hard,10.0,False,70.0
Rafael Nadal,Hard,12.0,True,129.0
Kei Nishikori,Hard,3.0,False,110.0
Rafael Nadal,Hard,3.0,True,105.0
Roger Federer,Hard,8.0,False,86.0
Rafael Nadal,Hard,8.0,True,88.0
Rafael Nadal,Hard,2.0,True,96.0
Tommy Haas,Hard,8.0,False,78.0
Rafael Nadal,Hard,2.0,True,89.0
Rafael Nadal,Hard,4.0,True,105.0
Feliciano Lopez,Hard,10.0,False,75.0
Rafael Nadal,Hard,7.0,True,157.0
Tomas Berdych,Hard,17.0,False,147.0
Rafael Nadal,Hard,4.0,True,146.0
Roger Federer,Hard,11.0,False,130.0
Rafael Nadal,Hard,4.0,True,49.0
Rafael Nadal,Hard,7.0,True,90.0
Rafael Nadal,Hard,4.0,True,108.0
Rafael Nadal,Hard,3.0,True,103.0
Marin Cilic,Hard,8.0,False,82.0
Rafael Nadal,Hard,11.0,True,113.0
Rafael Nadal,Hard,1.0,True,89.0
Rafael Nadal,Hard,6.0,True,137.0
Philipp Kohlschreiber,Hard,11.0,False,129.0
Rafael Nadal,Hard,2.0,True,107.0
Ivo Karlovic,Hard,28.0,False,101.0
Rafael Nadal,Hard,10.0,True,83.0
Rafael Nadal,Hard,3.0,True,83.0
Rafael Nadal,Hard,4.0,True,98.0
Tommy Haas,Hard,6.0,False,62.0
Rafael Nadal,Hard,4.0,True,96.0
Fernando Gonzalez,Hard,6.0,False,66.0
Rafael Nadal,Hard,5.0,True,105.0
Gilles Simon,Hard,4.0,False,83.0
Rafael Nadal,Hard,4.0,True,173.0
Roger Federer,Hard,11.0,False,174.0
Rafael Nadal,Hard,4.0,True,107.0
Rafael Nadal,Hard,9.0,True,83.0
Rafael Nadal,Hard,7.0,True,109.0
Gilles Simon,Hard,5.0,False,86.0
Rafael Nadal,Hard,3.0,True,43.0
Rafael Nadal,Hard,5.0,True,102.0
Jarkko Nieminen,Hard,2.0,False,81.0
Rafael Nadal,Hard,7.0,True,104.0
Rafael Nadal,Hard,4.0,True,136.0
Philipp Kohlschreiber,Hard,8.0,False,117.0
Rafael Nadal,Hard,1.0,True,99.0
Stan Wawrinka,Hard,4.0,False,62.0
Rafael Nadal,Hard,5.0,True,166.0
Andy Murray,Hard,15.0,False,149.0
Rafael Nadal,Hard,1.0,True,82.0
Julien Benneteau,Hard,2.0,False,45.0
Rafael Nadal,Hard,0.0,True,153.0
Mikhail Youzhny,Hard,9.0,False,140.0
Rafael Nadal,Hard,2.0,True,86.0
Rafael Nadal,Hard,5.0,True,82.0
Rafael Nadal,Hard,0.0,True,136.0
Rafael Nadal,Clay,5.0,True,94.0
Rafael Nadal,Clay,3.0,True,90.0
Rafael Nadal,Clay,5.0,True,115.0
Rafael Nadal,Clay,6.0,True,92.0
